,bidder_type,highest_bid,second_highest_bid
161,early_bidders,2485.0989576555194,2204.8558322154813
162,snipers,2145.4219879687694,1957.6122184341027
163,snipers,2943.370483012437,2580.5316670708853
164,early_bidders,2546.100335564633,2348.5383311121477
165,snipers,2530.5841812516255,2355.4747146118943
166,early_bidders,2371.0938964296406,2259.6274100071196
167,early_bidders,2127.4153422597083,1851.5514376412705
168,snipers,3382.614040961608,1967.9551553319986
169,snipers,3145.174166798514,2544.216653574589
170,snipers,2021.922852974906,1949.4575862529423
171,snipers,2699.646990902979,2505.650965568191
172,snipers,2268.5788547451393,2199.771492020938
173,snipers,2357.660063888682,1930.6980607418195
174,snipers,3004.282870522216,2264.625904516214
175,snipers,2456.3811427253127,2445.7788363994296
176,snipers,3244.0561558066092,3012.965649664705
177,early_bidders,2253.985541027424,1919.0299712569013
178,snipers,3264.5450093669738,2559.585316174258
179,early_bidders,2394.396782215562,1987.9581831225457
180,snipers,2763.633174977116,2573.2699814298085
181,snipers,2447.9648172451643,2235.117526359269
182,snipers,2609.844009373301,2057.743975471563
183,snipers,2373.362332290078,2287.2414682348485
184,snipers,2812.582235516878,2589.432690540604
185,early_bidders,2639.943432278626,2639.943432278626
186,early_bidders,2382.249708663441,2067.2354078869903
187,snipers,2904.6515816626043,2309.460918528909
188,early_bidders,2550.5887928872335,2487.033900841275
189,snipers,2623.3477591363344,1967.7162011792689
190,snipers,2615.879359458348,2399.5361879309567
191,snipers,3191.6269317926062,2331.8896337990514
192,snipers,2716.5578069505004,2031.7409520893939
193,snipers,2035.5454131514196,1929.765033250433
194,snipers,2266.156355291303,2128.1168131317586
195,snipers,2438.5935027149817,2238.8407503451954
196,snipers,2562.3953811927013,2467.6622280610363
197,snipers,3091.680075123856,2644.382687269582
198,snipers,1938.895433442769,1882.2931555863834
199,snipers,2668.2327260209654,2430.530811348434
200,snipers,2706.4820239394508,2136.992865993903
201,early_bidders,2318.13752226474,1908.6247738571512
202,snipers,2387.051249321369,2180.2204046400584
203,snipers,2494.9249918786354,2356.8781650917235
204,snipers,3430.1372936932366,2124.0325793009215
205,snipers,1930.343770435678,1754.261265318948
206,snipers,2468.1612515654588,2038.3740984271099
207,snipers,2336.980908870777,2250.868368641827
208,snipers,2945.057812828466,2522.557739235696
209,snipers,2578.637780584675,2371.814636723643
210,snipers,3022.5308910875156,2570.670275833681
211,snipers,2128.0128139782946,2074.3068472479504
212,snipers,2521.68822521711,1932.8330668606304
213,snipers,2413.948978355988,2099.534867621713
214,snipers,3225.8941931643476,2381.3948089760693
215,snipers,2349.213952145049,2025.2840410434055
216,early_bidders,2981.435542800974,2981.435542800974
217,early_bidders,2031.9932364771125,1851.1130333375875
218,snipers,2600.6771542508486,2304.247215670961
219,snipers,2943.7270597019115,2150.6649956110914
220,snipers,2128.869194515831,1944.734867029113
221,snipers,2540.977196571947,2238.6739080714487
222,snipers,2148.932367851653,1722.9970140992523
223,snipers,2330.7868535194643,2008.9768335794865
224,snipers,3218.0280709732406,2479.04864857424
225,snipers,3126.142137218501,1740.1405722941447
226,snipers,2875.141115690018,2419.6152249621377
227,early_bidders,2332.9958151906967,2045.4985347064155
228,snipers,3190.5428705471013,2636.151984305342
229,early_bidders,2585.9485567718666,2479.705396945107
230,snipers,2381.674677101578,2123.220250819591
231,snipers,2399.974245629092,2285.7186039118455
232,snipers,2916.410458813386,2142.1912247383116
233,snipers,2599.8270680165147,2148.046009462592
234,snipers,3388.1693871384778,1846.3208009843027
235,snipers,3187.8687173241847,2240.6988146160675
236,early_bidders,2035.2345592316133,1787.1613247861442
237,snipers,3536.480592077245,2520.2841047515935
238,snipers,3358.081649052214,2345.6638170528595
239,snipers,3212.912981586336,2419.888905720114
240,early_bidders,1952.1913569200615,1873.4331911310321
241,snipers,2920.690934222524,2122.1085635071045
242,snipers,2676.4321402551027,2533.7049791519903
243,snipers,2222.61898099134,1980.1183752713473
244,snipers,2731.1121398589216,2558.268812266362
245,snipers,2787.610854916688,2702.6676416005703
246,snipers,3303.291620255185,2090.081661161998
247,early_bidders,2291.6170726181094,1967.112175425102
248,snipers,2443.2876696182498,2364.2005668481315
249,early_bidders,2100.1171553831664,1960.564895312306
250,snipers,2573.6692175083263,2129.730895312592
251,snipers,2586.3638919542964,1931.0486680342788
252,early_bidders,2217.8815523460335,2044.2654030675822
253,snipers,3451.651237118873,2225.7407116391596
254,snipers,3045.7269075603595,2922.8048434427546
255,snipers,2819.26156235327,2153.293245483703
256,early_bidders,2229.9762453252674,2222.709002663655
257,snipers,2152.668233676012,2149.9944935318345
258,snipers,2805.228947140664,2552.145974662437
259,snipers,2550.360064482684,2059.074655403494
260,early_bidders,2947.797209763675,2352.2161407212857
261,snipers,2926.659774553551,1654.268978864592
262,snipers,2698.174568445664,2623.9167993677556
263,snipers,2791.899946993165,1967.466705458844
264,snipers,2227.030463334128,1984.8660574068235
265,snipers,2338.0885312284527,1973.4413036808105
266,snipers,2452.7988716801715,2312.462164852397
267,snipers,2731.5462433828607,2448.157737474546
268,snipers,2727.8122544288435,2692.876594824185
269,snipers,2918.3049087976487,2289.507422747848
270,early_bidders,2304.9510834812945,1972.733961053426
271,snipers,3159.636264643049,2559.242109728516
272,snipers,2121.386536455904,1954.3776237711454
273,snipers,3346.1983705127923,1929.7408050286801
274,early_bidders,2501.433365637984,2281.2352407173653
275,early_bidders,2650.9070691776183,2304.1923970980806
276,snipers,2177.9165281640685,1766.6931670291137
277,snipers,2323.301470017683,2237.576542854549
278,snipers,2848.4449179284893,2336.9873327192713
279,snipers,3062.3202098837205,2288.101216140394
280,snipers,2168.7748129011115,2064.8708766019827
281,early_bidders,2996.995412752972,2254.9797117473813
282,snipers,2813.5288546446272,2459.649283267317
283,snipers,2972.7638234811307,1959.68487448959
284,snipers,2757.992266669377,2233.5247516709333
285,snipers,2473.1761871517115,2261.369436674143
286,snipers,3570.917495879148,2679.1581067419334
287,snipers,3033.568876464077,1885.1910064983056
288,snipers,3314.922899165681,2135.793658247891
289,snipers,3232.67791822285,2915.1663789888935
290,snipers,2851.1473495206405,2529.3276002114135
291,early_bidders,2508.439391748414,2060.758299706009
292,snipers,2512.549131606171,2497.6375154161674
293,snipers,3056.4291456925584,2432.477560274979
294,snipers,2288.850040761947,1968.8375994363255
295,snipers,3334.2699345309743,2726.156545932242
296,snipers,3557.820820574069,1798.6081631932468
297,snipers,3066.045753398837,2200.979651626907
298,early_bidders,2387.4841936169623,2097.423215785363
299,snipers,2782.051408009851,2690.3152836922745
300,early_bidders,3053.9024728299773,2757.356787798895
301,snipers,3134.639698245401,1974.764934141932
302,early_bidders,2289.5313986607403,2151.369601917332
303,snipers,2319.3603434160195,2217.361232858087
304,snipers,2377.3320148097023,2109.0885433745298
305,early_bidders,2526.750517144224,2415.4305343217984
306,snipers,2900.213431787709,2571.693397584937
307,snipers,2917.347792016424,2014.7133814767235
308,early_bidders,1999.1867049435643,1910.1701374078045
309,snipers,2316.933122045282,2194.683818225451
310,snipers,3132.4634983039423,2087.9652201884264
311,early_bidders,2794.783793214722,2514.5412503043026
312,snipers,3991.4330512275264,3189.0176845397973
313,early_bidders,1918.804904044708,1802.6604289568395
314,early_bidders,2350.4236953356162,1692.371146517748
315,snipers,2931.7966304035476,2059.0530077070616
316,early_bidders,2251.3489096960147,1891.1211283658563
317,early_bidders,2309.7027853714208,2254.031917348872
318,snipers,3126.544478452831,2519.00980155431
319,early_bidders,2142.9445147427778,1715.696428926533
320,early_bidders,2428.2279071580015,2246.559629533551
321,early_bidders,2472.981935043375,2354.89984989737
322,snipers,2373.102403446385,2088.046419260416
323,early_bidders,2178.159878789958,2046.9974154115137
324,snipers,2804.9671150897157,2529.806032552449
325,early_bidders,2053.36590501701,1889.865764587449
326,snipers,2121.3233133982476,1846.157892707066
327,snipers,2755.479639985202,2704.920367248379
328,snipers,2399.662703318346,1649.4308407067078
329,snipers,2352.770673792191,2069.49173627815
330,early_bidders,1935.748129901366,1756.8509978469554
331,snipers,2285.2322810110372,2021.2640059006453
332,snipers,2941.9723590457793,2593.9405308629566
333,snipers,2214.368806806153,2018.2871135633363
334,snipers,2927.340807956969,2380.8217266068036
335,snipers,2415.512483704634,2248.002135807581
336,snipers,2847.7938817559916,2773.4548918177
337,early_bidders,2804.2959381725855,2773.317555800717
338,snipers,2758.944803108543,2301.9951393533825
339,early_bidders,2906.100337932484,2650.4597536166348
340,snipers,2493.6740350666287,2187.0327718864796
341,snipers,2543.6026873230876,2110.1798289918056
342,snipers,3159.161614063756,2397.2892245135536
343,snipers,2593.793089631838,2332.94570607022
344,snipers,3547.653745697171,2701.5612267179845
345,snipers,2466.6585185397325,2173.297738820018
346,snipers,2477.9715122196726,2122.94312039263
347,early_bidders,2226.0522734115566,2098.446300511956
348,snipers,3500.96362416442,2814.10522002323
349,snipers,2680.5350938262973,2566.6201553078495
350,snipers,2908.0631356309036,2640.381615079543
351,early_bidders,2267.4800136822505,2202.8349278796527
352,snipers,2728.958424062427,2209.2631707323685
353,snipers,2282.7707983148534,1865.6506968526448
354,snipers,2832.7164995657286,2268.0016549971497
355,snipers,2358.3442471968456,1957.0078173546565
356,snipers,3021.8701517098425,2624.08356089273
357,snipers,2996.121580240292,2695.383069997775
358,snipers,3108.3119718794433,2847.278415791664
359,snipers,2859.9941290878937,2164.8852723506902
360,snipers,2849.2529726981384,2290.4137405826777
361,early_bidders,2898.8962168530697,2482.538648015873
362,snipers,2555.708195714298,2171.468073348814
363,early_bidders,2586.556386339689,2552.715703911382
364,snipers,2942.977229341494,2273.06100122558
365,early_bidders,2555.856492660309,2262.561104373177
366,snipers,2892.9025139474543,2805.25383346316
367,snipers,2422.6431588615956,2216.1309690243115
368,snipers,2343.1164163026083,1889.9654600643216
369,snipers,2645.1670460454307,2180.1436528058384
370,early_bidders,3070.7297251888863,2289.2376080312465
371,snipers,2999.581137628598,2208.3087059715835
372,early_bidders,3084.051165204015,2313.640726305407
373,early_bidders,2370.240242570634,1967.22424895279
374,early_bidders,2755.2456709824264,2755.2456709824264
375,snipers,2242.13720419514,2037.219756083974
376,snipers,2720.156070539521,2665.624725882163
377,early_bidders,2249.174003555442,2185.6610521505545
378,snipers,2248.980962668523,2133.861692896716
379,early_bidders,2634.730162029061,2263.195278099194
380,snipers,3156.92351985715,2272.9941953970465
381,snipers,2498.729851693427,2447.2396891615776
382,snipers,2659.2275909590335,2510.6288391839976
383,snipers,1999.3772438169838,1856.7814713953371
384,early_bidders,2162.6703828098825,1880.4714122982266
385,snipers,3543.2910275419,2179.389193581369
386,snipers,2657.058392513738,2534.502564621287
387,early_bidders,2748.804737604345,2468.907056625901
388,snipers,2689.5925222779183,1897.4173009181682
389,early_bidders,2603.7683033736494,2526.6441763316243
390,snipers,2534.9711898565947,2121.3956122890113
391,snipers,2666.1256821079487,2230.8199027989085
392,early_bidders,2166.4128966279077,2166.4128966279077
393,snipers,3153.7007244744364,2105.9888118424756
394,snipers,1892.6429663188667,1769.482626661254
395,snipers,3508.027741925446,2788.6286418155623
396,snipers,3416.268149714116,3030.096895181572
397,snipers,2878.588536837615,2591.9537414510205
398,snipers,2456.2304819924725,1864.4607496223846
399,snipers,3007.1378060074803,2791.7745772863504
400,snipers,2634.2532573223493,1880.884625260413
401,early_bidders,2664.2158248271917,2664.2158248271917
402,snipers,1972.956038067926,1699.4909774994535
403,snipers,2962.007252213964,2095.1728864202996
404,snipers,2865.6431176147794,1832.336211331298
405,early_bidders,2315.309321625048,2125.6738135206533
406,early_bidders,2277.9037798706677,2133.460863339598
407,early_bidders,2509.5276309985475,2276.4208091974906
408,snipers,3091.7407433362423,2157.665526792512
409,snipers,3047.9846998047924,2555.441694973021
410,snipers,3089.6011131622263,1990.8659843488654
411,early_bidders,2306.958448376487,2291.1150075606674
412,snipers,2557.055120084074,2075.003741961318
413,snipers,2786.053484308409,2444.894451338834
414,snipers,2463.4027369649752,2015.6656800887572
415,early_bidders,2138.2270124172755,2138.2270124172755
416,snipers,3156.9293948928826,2594.212358308157
417,snipers,2517.061272480639,2385.5353768758414
418,snipers,2088.1806751701306,2056.3111984246134
419,snipers,3063.315314724422,2925.3435137930687
420,snipers,2700.522357712325,2481.1287800157415
421,snipers,2907.5973191626827,2410.023119272234
422,snipers,2899.919814961774,2706.6787964861505
423,snipers,2117.9587828285935,1870.197003495286
424,snipers,2932.2475096629532,1717.1625018406526
425,snipers,2640.988854414657,2293.8778766509104
426,early_bidders,2132.7539190368034,1992.11509224042
427,early_bidders,2639.713410643746,2639.713410643746
428,snipers,2724.384547385227,2108.2158127470666
429,snipers,2042.2152923600408,2040.3752900844256
430,snipers,3365.4251930419396,2462.8368493613984
431,snipers,3071.838327026484,2652.2386564410353
432,snipers,2189.446655587412,1933.7503342631308
433,early_bidders,2746.831551533451,2588.988852348103
434,snipers,2594.387835784376,2288.070271548516
435,snipers,2628.1120836922137,2415.9647407054636
436,snipers,2670.170949713345,2601.2496858667037
437,snipers,3183.29071850966,2220.9036861015134
438,snipers,3081.3432715739964,2756.4246118733677
439,snipers,2669.520330075234,2538.5547251987437
440,snipers,3066.240615291572,2247.558755207353
441,snipers,2489.0810926725144,2461.3335336421196
442,snipers,2505.569773130419,1894.5090143510465
